source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Megamonas	g__Muricomes	0.0062	0.8641	6.688185231996184	2.15845278974671	0.2789256198347107	0.140495867768595
g__Megamonas	g__Murimonas	0.0029	0.9391	6.688185231996184	3.621229568488325	0.2789256198347107	0.3264462809917355
g__Megamonas	g__Nanosynbacter	0.0153	0.7323	6.688185231996184	5.599543895257287	0.2789256198347107	0.3429752066115702
g__Megamonas	g__Negativibacillus	-0.0595	0.1608	6.688185231996184	4.214735877207416	0.2789256198347107	0.2871900826446281
g__Megamonas	g__Odoribacter	-0.0424	0.3337	6.688185231996184	6.157935194356419	0.2789256198347107	0.4979338842975206
g__Megamonas	g__Oliverpabstia	0.0239	0.5774	6.688185231996184	5.433649971067557	0.2789256198347107	0.3450413223140496
g__Megamonas	g__Onthenecus	-0.0138	0.7552	6.688185231996184	3.50558835530103	0.2789256198347107	0.2024793388429752
g__Megamonas	g__Otoolea	-0.0051	0.9251	6.688185231996184	5.637003645213656	0.2789256198347107	0.7768595041322314
g__Megamonas	g__Parabacteroides	0.0098	0.8182	6.688185231996184	6.192944193631491	0.2789256198347107	0.7128099173553719
g__Megamonas	g__Paraprevotella	0.0425	0.3127	6.688185231996184	4.140906751288207	0.2789256198347107	0.1611570247933884
g__Megamonas	g__Pararoseburia	0.0691	0.0699	6.688185231996184	2.825909598867752	0.2789256198347107	0.1219008264462809
g__Megamonas	g__Parasutterella	-0.0222	0.6184	6.688185231996184	5.298451378186632	0.2789256198347107	0.2789256198347107
g__Megamonas	g__Pauljensenia	0.028	0.4615	6.688185231996184	2.2533515315695056	0.2789256198347107	0.146694214876033
g__Megamonas	g__Pediococcus	-0.0153	0.7113	6.688185231996184	6.044472607556895	0.2789256198347107	0.1632231404958677
g__Megamonas	g__Peptostreptococcus	0.047	0.2498	6.688185231996184	4.158206308007135	0.2789256198347107	0.1714876033057851
g__Megamonas	g__Phascolarctobacterium	0.0202	0.6533	6.688185231996184	6.029728220366929	0.2789256198347107	0.3863636363636363
g__Megamonas	g__Phocaeicola	0.0748	0.0829	6.688185231996184	8.725237087762615	0.2789256198347107	0.9462809917355371
g__Megamonas	g__Prevotella	0.2079	0.001	6.688185231996184	7.491746663855539	0.2789256198347107	0.4442148760330578
g__Megamonas	g__Pseudobutyricicoccus	0.0451	0.1838	6.688185231996184	1.9868852982679972	0.2789256198347107	0.1074380165289256
g__Megamonas	g__Pseudoflavonifractor_A	0.0804	0.032	6.688185231996184	2.297002529131489	0.2789256198347107	0.134297520661157
g__Megamonas	g__Pseudoscilispira	-0.0108	0.7872	6.688185231996184	2.32481049555165	0.2789256198347107	0.2892561983471074
g__Megamonas	g__Roseburia	-0.0281	0.5065	6.688185231996184	6.270505006703759	0.2789256198347107	0.6735537190082644
g__Megamonas	g__Roseburia_D	0.0412	0.2997	6.688185231996184	3.250214645379917	0.2789256198347107	0.1425619834710743
g__Megamonas	g__Rothia	0.0355	0.4006	6.688185231996184	4.05370153221366	0.2789256198347107	0.2603305785123967
g__Megamonas	g__Ruminiclostridium_E	-0.0293	0.4695	6.688185231996184	3.366299955668857	0.2789256198347107	0.1115702479338843
g__Megamonas	g__Ruminococcus_B	0.0136	0.7383	6.688185231996184	7.737947132127615	0.2789256198347107	0.8388429752066116
g__Megamonas	g__Ruminococcus_C	0.0437	0.2987	6.688185231996184	4.048462536450087	0.2789256198347107	0.2417355371900826
g__Megamonas	g__Ruminococcus_E	-0.0966	0.015	6.688185231996184	5.434585988920234	0.2789256198347107	0.2045454545454545
g__Megamonas	g__Ruthenibacterium	-0.0766	0.0719	6.688185231996184	4.251172068521615	0.2789256198347107	0.493801652892562
g__Megamonas	g__Sarcina	0.0247	0.5704	6.688185231996184	4.978552208875173	0.2789256198347107	0.2128099173553719
g__Megamonas	g__Schaedlerella	-0.0399	0.3257	6.688185231996184	4.029210216422679	0.2789256198347107	0.3822314049586777
g__Megamonas	g__Sellimonas	0.0144	0.7532	6.688185231996184	4.545463956753047	0.2789256198347107	0.2644628099173554
g__Megamonas	g__Streptococcus	0.0038	0.9481	6.688185231996184	7.600561164194048	0.2789256198347107	0.9648760330578512
g__Megamonas	g__Sutterella	0.0877	0.043	6.688185231996184	5.853451847111789	0.2789256198347107	0.4152892561983471
g__Megamonas	g__Terrisporobacter	-0.0586	0.1698	6.688185231996184	4.122901962417212	0.2789256198347107	0.2665289256198347
g__Megamonas	g__Thomasclavelia	-0.0065	0.8861	6.688185231996184	5.6451554268064745	0.2789256198347107	0.628099173553719
g__Megamonas	g__Turicibacter	-0.0339	0.4146	6.688185231996184	4.5880554893591485	0.2789256198347107	0.4297520661157025
g__Megamonas	g__Tyzzerella	-0.0157	0.6853	6.688185231996184	3.784611288214841	0.2789256198347107	0.2148760330578512
g__Megamonas	g__UBA3402	0.0485	0.2218	6.688185231996184	2.798412201319961	0.2789256198347107	0.1694214876033057
g__Megamonas	g__URXU01	0.5481	0.001	6.688185231996184	5.865369354810628	0.2789256198347107	0.1384297520661157
g__Megamonas	g__Veillonella	0.0114	0.8072	6.688185231996184	6.826654795566198	0.2789256198347107	0.6363636363636364
g__Megamonas	g__Vescimonas	-0.0356	0.3966	6.688185231996184	4.145880095308725	0.2789256198347107	0.3347107438016529
g__Megamonas	g__Weissella	0.0229	0.5744	6.688185231996184	4.862494013017426	0.2789256198347107	0.5020661157024794
g__Megamonas	g__Wujia	0.0489	0.2218	6.688185231996184	4.1653377227471	0.2789256198347107	0.134297520661157
